Внешний код;Название;Артикул;Доступное количество;Цена;Производитель;;;
8;Салфетка для мебели Cloth XL, 40 x 40 см;40022;0;315;Leifheit;;;
847;Перчатки Sensitive размер S;40023;0;480;Leifheit;;;
846;Перчатки Sensitive размер M;40024;0;480;Leifheit;;;
845;Перчатки Sensitive размер L;40025;0;480;Leifheit;;;
1161;Перчатки Extra Fine S;40026;0;285;Leifheit;;;
1162;Перчатки Extra Fine M;40027;0;295;Leifheit;;;
1163;Перчатки Extra Fine L;40028;0;290;Leifheit;;;
1164;Перчатки Grip Control M;40030;0;300;Leifheit;;;
1165;Перчатки ULtra Strong S;40032;3;400;Leifheit;;;
1166;Перчатки ULtra Strong M;40033;0;400;Leifheit;;;
1167;Перчатки ULtra Strong L;40034;0;430;Leifheit;;;
1168;Набор перчаток One Way 10шт.;40035;0;305;Leifheit;;;
1169;Перчатки Latex Free S;40037;0;375;Leifheit;;;
1170;Перчатки Latex Free M;40038;0;395;Leifheit;;;
1171;Перчатки Latex Free L;40039;1;395;Leifheit;;;
74997;Набор для подметания Sweper Set;41404;13;3150;Leifheit;;;
88;Набор для подметания щетка с контейнером для мусора, 110 см;41405;14;3820;Leifheit;;;
89;Набор для подметания щетка-сметка и совок;41410;12;2130;Leifheit;;;
1175;Чистящее средство универсальное, 0.5 л;41411;221;690;Leifheit;;;
1176;Чистящее средство для стекол, 1 л;41414;116;856;Leifheit;;;
1177;Чистящее средство для ухода за паркетом и ламинатом, 1 л;41415;186;990;Leifheit;;;
1178;Чистящее средство для ухода за паркетом, 1 л;41416;103;1106;Leifheit;;;
1179;Чистящее средство для ухода за каменным полом, 1 л;41417;202;990;Leifheit;;;
1182;Ручка cтальная с шарниром Click System;41522;0;1400;Leifheit;;;
1183;Водосгон для душевых кабин Cabino;41650;55;809;Leifheit;;;
1185;Швабра для стен Flexi Pad, телескопическая;41700;18;1920;Leifheit;;;
374;Швабра для стен Flexi Pad с короткой ручкой;41701;21;1367;Leifheit;;;
1186;Сменная насадка Flexi Pad;41702;0;625;Leifheit;;;
32004;Кружка для чая Loop;43365;31;584;Leonardo;;;
1385;Бокал для латте Loop с ручкой, 0.4 л;43366;21;752;Leonardo;;;
96;Ручка деревянная для щетки, 140 см;45020;0;1100;Leifheit;;;
1189;Вешалка для ремней Omega;45410;0;1400;Leifheit;;;
330571;Сервировочная тарелка 41 см;45424;0;4392;Leonardo;;;
330572;Сервировочная тарелка 20 см;45430;0;2296;Leonardo;;;
330573;Сервировочная тарелка 20 см;45431;0;2264;Leonardo;;;
330574;Сервировочная тарелка 20 см;45433;0;2296;Leonardo;;;
1190;Водосгон Comfort;51010;0;3694;Leifheit;;;
3649;Набор для мойки стекол Dry&Clean: вакуумный стеклоочиститель + жидкость для стекол с насадкой-щеткой;51021;16;11645;Leifheit;;;
1191;Автоматическая щетка для мытья окон;51113;0;10881;Leifheit;;;
1192;Автоматическая щетка для мытья окон с ручкой;51114;0;9513;Leifheit;;;
1193;Стеклоочиститель Power Window Expert 3 в 1, телескопический;51120;334;3000;Leifheit;;;
1194;Стеклоочиститель 3 в 1 Window Wiper Mini, 20 см;51127;0;1160;Leifheit;;;
1883;Устройство для мытья окон 2 в 1 Window Spray Cleaner;51165;3;2502;Leifheit;;;
105;Запасная насадка micro Picospray;51170;0;250;Leifheit;;;
1197;Стеклоочиститель двойной;51316;1;1170;Leifheit;;;
1198;Стеклоочиститель 3 в 1 Window Wiper, 28 см;51320;330;1360;Leifheit;;;
1199;Сменная насадка для стеклоочистителя Window Wiper 3 в 1;51325;1;780;Leifheit;;;
1200;Водосгон Slider M, 28 см;51425;385;569;Leifheit;;;
1201;Водосгон Set WindowSlider XL 40 см, телескопический 4.15 м;51426;0;2885;Leifheit;;;
1203;Водосгон Powerslide 40 см, телескопический 2.0 м;51521;0;1485;Leifheit;;;
1202;Водосгон Slider XL, 40 см;51522;92;764;Leifheit;;;
1204;Ведро универсальное Combi 12л;52000;1232;1239;Leifheit;;;
1205;Ведро Combi Box с 2-мя отделениями;52001;3;1386;Leifheit;;;
1206;Насадка для ведра Combi Mop;52002;0;470;Leifheit;;;
3350;Насадка-отжим для ведра Combi Press;52003;3;745;Leifheit;;;
1207;Швабра с отжимом Clean Tenso;52004;0;2100;Leifheit;;;
1208;Ведро универсальное Combi XL 20л;52013;63;1800;Leifheit;;;
1209;Комплект Clean Twist System M Extra Soft;52014;79;7500;Leifheit;;;
1210;Комплект Clean Twist System XL Extra Soft;52015;95;7500;Leifheit;;;
1211;Сменная насадка Twist XL Extra Soft для паркета;52016;87;974;Leifheit;;;
1212;Сменная насадка Twist XL Micro Duo универсальная;52017;8;974;Leifheit;;;
1213;Сменная насадка Twist XL Static Plus для сухой чистки;52018;0;974;Leifheit;;;
1214;Комплект Clean Twist System Mop;52019;49;5500;Leifheit;;;
3189;Комплект Combi Clean Limited Edition, голубой;52063;0;4255;Leifheit;;;
97;Сменная насадка для швабры Classic Mop;52068;6;460;Leifheit;;;
98;Сменная насадка для швабры Classic Mop Viscose Plus;52069;0;460;Leifheit;;;
99;Швабра для мытья пола Classic Mop;52072;5;1000;Leifheit;;;
3485;Швабра для пола Classic Limited Editon, телескопическая;52081;0;2295;Leifheit;;;
1215;Сменная насадка Clean Twist Mop;52095;99;800;Leifheit;;;
330595;Ваза круглая Millefiori 14 см;53828;0;2132;Leonardo;;;
330604;Ваза круглая Millefiori 17 см;53829;0;3104;Leonardo;;;
330596;Ваза круглая Millefiori 19 см;53834;0;3756;Leonardo;;;
330568;Стакан Millefiori для коктейля;53839;0;1840;Leonardo;;;
330569;Стакан Millefiori;53840;0;1832;Leonardo;;;
